Person,Date,Week,Tm,H/Away,Opp,Result,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A
Patrick Mahomes,9/10/2020,1,KAN,H,HOU,W 34-20,24,32,75,211,3,0,123.3,1,8,6.59,8.47
Patrick Mahomes,9/20/2020,2,KAN,A,LAC,W 23-20,27,47,57.45,302,2,0,90.9,1,13,6.43,7.28
Patrick Mahomes,9/28/2020,3,KAN,A,BAL,W 34-20,31,42,73.81,385,4,0,133.5,0,0,9.17,11.07
Patrick Mahomes,10/5/2020,4,KAN,H,NWE,W 26-10,19,29,65.52,236,2,0,113.6,1,7,8.14,9.52
Patrick Mahomes,10/11/2020,5,KAN,H,LVR,L 32-40,22,43,51.16,340,2,1,83.5,3,7,7.91,7.79
Patrick Mahomes,10/19/2020,6,KAN,A,BUF,W 26-17,21,26,80.77,225,2,0,128.4,1,4,8.65,10.19
Patrick Mahomes,10/25/2020,7,KAN,A,DEN,W 43-16,15,23,65.22,200,1,0,107.2,3,25,8.7,9.57
Patrick Mahomes,11/1/2020,8,KAN,H,NYJ,W 35-9,31,42,73.81,416,5,0,144.4,0,0,9.9,12.29
Patrick Mahomes,11/8/2020,9,KAN,H,CAR,W 33-31,30,45,66.67,372,4,0,121.7,2,11,8.27,10.04
Patrick Mahomes,11/22/2020,11,KAN,A,LVR,W 35-31,34,45,75.56,348,2,1,102.8,0,0,7.73,7.62
Patrick Mahomes,11/29/2020,12,KAN,A,TAM,W 27-24,37,49,75.51,462,3,0,124.7,2,6,9.43,10.65
Patrick Mahomes,12/6/2020,13,KAN,H,DEN,W 22-16,25,40,62.5,318,1,0,95.6,1,5,7.95,8.45
Patrick Mahomes,12/13/2020,14,KAN,A,MIA,W 33-27,24,34,70.59,393,2,3,91.9,3,39,11.56,8.76
Patrick Mahomes,12/20/2020,15,KAN,A,NOR,W 32-29,26,47,55.32,254,3,0,92,4,22,5.4,6.68
Patrick Mahomes,12/27/2020,16,KAN,H,ATL,W 17-14,24,44,54.55,278,2,1,79.5,0,0,6.32,6.2
Patrick Mahomes,1/17/2021,19,KAN,H,CLE,W 22-17,21,30,70,255,1,0,106.9,0,0,8.5,9.17
Patrick Mahomes,1/24/2021,20,KAN,H,BUF,W 38-24,29,38,76.32,325,3,0,127.6,1,0,8.55,10.13
Patrick Mahomes,2/7/2021,21,KAN,A,TAM,L 9-31,26,49,53.06,270,0,2,52.3,3,27,5.51,3.67
Tom Brady,9/13/2020,1,TAM,A,NOR,L 23-34,23,36,63.89,239,2,2,78.4,3,15,6.64,5.25
Tom Brady,9/20/2020,2,TAM,H,CAR,W 31-17,23,35,65.71,217,1,1,80.3,0,0,6.2,5.49
Tom Brady,9/27/2020,3,TAM,A,DEN,W 28-10,25,38,65.79,297,3,0,115.8,2,12,7.82,9.39
Tom Brady,10/4/2020,4,TAM,H,LAC,W 38-31,30,46,65.22,369,5,1,117,0,0,8.02,9.22
Tom Brady,10/8/2020,5,TAM,A,CHI,L 19-20,25,41,60.98,253,1,0,86.7,3,20,6.17,6.66
Tom Brady,10/18/2020,6,TAM,H,GNB,W 38-10,17,27,62.96,166,2,0,104.9,0,0,6.15,7.63
Tom Brady,10/25/2020,7,TAM,A,LVR,W 45-20,33,45,73.33,369,4,0,127,0,0,8.2,9.98
Tom Brady,11/2/2020,8,TAM,A,NYG,W 25-23,28,40,70,279,2,0,106.1,2,16,6.98,7.98
Tom Brady,11/8/2020,9,TAM,H,NOR,L 3-38,22,38,57.89,209,0,3,40.4,3,23,5.5,1.95
Tom Brady,11/15/2020,10,TAM,A,CAR,W 46-23,28,39,71.79,341,3,0,124,1,7,8.74,10.28
Tom Brady,11/23/2020,11,TAM,H,LAR,L 24-27,26,48,54.17,216,2,2,62.5,1,7,4.5,3.46
Tom Brady,11/29/2020,12,TAM,H,KAN,L 24-27,27,41,65.85,345,3,2,96.1,1,3,8.41,7.68
Tom Brady,12/13/2020,14,TAM,H,MIN,W 26-14,15,23,65.22,196,2,0,120.9,0,0,8.52,10.26
Tom Brady,12/20/2020,15,TAM,A,ATL,W 31-27,31,45,68.89,390,2,0,110.4,3,25,8.67,9.56
Tom Brady,12/26/2020,16,TAM,A,DET,W 47-7,22,27,81.48,348,4,0,158.3,1,7,12.89,15.85
Tom Brady,1/3/2021,17,TAM,H,ATL,W 44-27,26,41,63.41,399,4,1,117.8,1,8,9.73,10.59
Tom Brady,1/9/2021,18,TAM,A,WAS,W 31-23,22,40,55,381,2,0,104.3,3,16,9.53,10.53
Tom Brady,1/17/2021,19,TAM,A,NOR,W 30-20,18,33,54.55,199,2,0,92.9,1,10,6.03,7.24
Tom Brady,1/24/2021,20,TAM,A,GNB,W 31-26,20,36,55.56,280,3,3,73.8,1,5,7.78,5.69
Tom Brady,2/7/2021,21,TAM,H,KAN,W 31-9,21,29,72.41,201,3,0,125.8,1,6,6.93,9
